FID,PARK_ID,FACILITYID,ADDRESS,TYPE,ACCESSCTRL,NOTES,NAME,LINK_EN,LINK_LABEL,LINK_FR,LINK_LAB_1,LINK_DESCR,LINK_DES_1
0,923.0,28013.0,334 RIVER RD Gloucester,flat,n,Outdoor,Roving Skateboard Park Location, , , , , , 
1,960.0,28014.0,8720 RUSSELL RD Cumberland,flat,n,Outdoor,Bearbrook Skateboard Park, , , , , , 
2,657.0,28000.0,110 MALVERN DR Nepean,flat,n,Outdoor,Roving Skateboard Park Location, , , , , , 
3,1219.0,28001.0,1490 YOUVILLE DR Gloucester,other,n,Outdoor,Bob MacQuarrie Skateboard Park, , , , , , 
4,1157.0,28002.0,100 WALTER BAKER PL Kanata,bowl,n,Outdoor,Walter Baker Skateboard Park, , , , , , 
5,330.0,28003.0,5572 DOCTOR LEACH DR Rideau,flat,y,Outdoor - Joined with basketball,Manotick Skateboard Park, , , , , , 
6,762.0,28004.0,2030 OGILVIE RD Gloucester,flat,n,Outdoor,Trillium Park Skateboard Park, , , , , , 
7,430.0,28005.0,190 GLEN PARK DR Gloucester,flat,n,Outdoor,Blackburn Skateboard Park, , , , , , 
8,9.0,28006.0,2785 8TH LINE RD Osgoode,other,n,Outdoor - Mobile,Roving Skateboard Park Location, , , , , , 
9,1159.0,28007.0,10 WARNER COLPITTS LANE Goulbourn,flat,y,Indoor - Summer,Roving Skateboard Park Location, , , , , , 
10,653.0,28008.0,5660 OSGOODE MAIN ST Osgoode,other,n,Outdoor - Mobile,Roving Skateboard Park Location, , , , , , 
11,812.0,28009.0,180 PERCY ST Old Ottawa,flat,y,Indoor - Summer,McNabb Skateboard Park, , , , , , 
12,693.0,28010.0,1448 MEADOW DR Osgoode,other,n,Outdoor - Mobile,Roving Skateboard Park Location, , , , , , 
13,1334.0,28011.0,262 LEN PURCELL DR West Carleton,other,n,Outdoor,Constance Bay Skateboard Park, , , , , , 
14,628.0,28015.0,645 LONGFIELDS DR Nepean,flat,n,Outdoor,Longfields Skateboard Park, , , , , , 
15,1693.0,28016.0,101 CENTREPOINTE DR Nepean,bowl,n,Outdoor,Legacy Skateboard Park, , , , , , 
16,989.0,28017.0,1500 SHEA RD Goulbourn,flat,n,Outdoor,Goulbourn Skateboard Park, , , , , , 
17,1717.0,28018.0,3142 CONROY RD Old Ottawa,flat,n,Outdoor,Conroy Road Skateboard Park, , , , , , 
18,137.0,28019.0,65 STONEHAVEN DR Kanata,flat,n,Outdoor,Bridlewood Skateboard Park, , , , , , 
19,1133.0,28020.0,100 CLIFFORD CAMPBELL ST West Carleton,flat,n,Outdoor,Roving Skateboard Park Location, , , , , , 
